Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Travis Hunter (40142790),Travis Hunter,40142790,WR/FLEX,4600,JAX@SF 09/28/2025 04:05PM ET,JAX,5.87
TE,Dalton Kincaid (40143140),Dalton Kincaid,40143140,TE/FLEX,4500,NO@BUF 09/28/2025 01:00PM ET,BUF,13.37
RB,Rico Dowdle (40142538),Rico Dowdle,40142538,RB/FLEX,4500,CAR@NE 09/28/2025 01:00PM ET,CAR,5.77
WR,Stefon Diggs (40142796),Stefon Diggs,40142796,WR/FLEX,4500,CAR@NE 09/28/2025 01:00PM ET,NE,8.07
QB,Jaxson Dart (40142419),Jaxson Dart,40142419,QB,4500,LAC@NYG 09/28/2025 01:00PM ET,NYG,0
RB,Devin Singletary (40142540),Devin Singletary,40142540,RB/FLEX,4500,LAC@NYG 09/28/2025 01:00PM ET,NYG,1
RB,Brian Robinson Jr. (40142536),Brian Robinson Jr.,40142536,RB/FLEX,4500,JAX@SF 09/28/2025 04:05PM ET,SF,3.27
WR,DeAndre Hopkins (40142794),DeAndre Hopkins,40142794,WR/FLEX,4500,BAL@KC 09/28/2025 04:25PM ET,BAL,9.4
QB,Kyle Allen (40142420),Kyle Allen,40142420,QB,4400,CLE@DET 09/28/2025 01:00PM ET,DET,0
TE,Sam LaPorta (40143142),Sam LaPorta,40143142,TE/FLEX,4400,CLE@DET 09/28/2025 01:00PM ET,DET,8.93
RB,Woody Marks (40142542),Woody Marks,40142542,RB/FLEX,4400,TEN@HOU 09/28/2025 01:00PM ET,HOU,3.67
WR,Christian Kirk (40142800),Christian Kirk,40142800,WR/FLEX,4400,TEN@HOU 09/28/2025 01:00PM ET,HOU,5.5
QB,Andy Dalton (40142421),Andy Dalton,40142421,QB,4400,CAR@NE 09/28/2025 01:00PM ET,CAR,-0.1
RB,Hassan Haskins (40142544),Hassan Haskins,40142544,RB/FLEX,4400,LAC@NYG 09/28/2025 01:00PM ET,LAC,0
QB,Jimmy Garoppolo (40142422),Jimmy Garoppolo,40142422,QB,4400,IND@LAR 09/28/2025 04:05PM ET,LAR,0
WR,Alec Pierce (40142798),Alec Pierce,40142798,WR/FLEX,4400,IND@LAR 09/28/2025 04:05PM ET,IND,8.7
RB,Kyle Monangai (40142712),Kyle Monangai,40142712,RB/FLEX,4400,CHI@LV 09/28/2025 04:25PM ET,CHI,3.23
WR,Joshua Palmer (40142804),Joshua Palmer,40142804,WR/FLEX,4300,NO@BUF 09/28/2025 01:00PM ET,BUF,6.43
WR,Kayshon Boutte (40142802),Kayshon Boutte,40142802,WR/FLEX,4300,CAR@NE 09/28/2025 01:00PM ET,NE,10.9
RB,Najee Harris (40142562),Najee Harris,40142562,RB/FLEX,4300,LAC@NYG 09/28/2025 01:00PM ET,LAC,3.87
RB,Will Shipley (40142546),Will Shipley,40142546,RB/FLEX,4300,PHI@TB 09/28/2025 01:00PM ET,PHI,2.6
RB,Blake Corum (40142548),Blake Corum,40142548,RB/FLEX,4300,IND@LAR 09/28/2025 04:05PM ET,LAR,6.1
QB,Cooper Rush (40142423),Cooper Rush,40142423,QB,4300,BAL@KC 09/28/2025 04:25PM ET,BAL,-0.4
QB,Tyler Huntley (40142424),Tyler Huntley,40142424,QB,4300,BAL@KC 09/28/2025 04:25PM ET,BAL,0
TE,Mark Andrews (40143144),Mark Andrews,40143144,TE/FLEX,4300,BAL@KC 09/28/2025 04:25PM ET,BAL,10
RB,Chris Rodriguez Jr. (40142552),Chris Rodriguez Jr.,40142552,RB/FLEX,4200,WAS@ATL 09/28/2025 01:00PM ET,WAS,3.9
QB,Tyler Shough (40142425),Tyler Shough,40142425,QB,4200,NO@BUF 09/28/2025 01:00PM ET,NO,0
TE,Juwan Johnson (40143146),Juwan Johnson,40143146,TE/FLEX,4200,NO@BUF 09/28/2025 01:00PM ET,NO,14.2
QB,Dillon Gabriel (40142426),Dillon Gabriel,40142426,QB,4200,CLE@DET 09/28/2025 01:00PM ET,CLE,4.76
QB,Shedeur Sanders (40142427),Shedeur Sanders,40142427,QB,4200,CLE@DET 09/28/2025 01:00PM ET,CLE,0
RB,Dylan Sampson (40142550),Dylan Sampson,40142550,RB/FLEX,4200,CLE@DET 09/28/2025 01:00PM ET,CLE,9.47
WR,Cedric Tillman (40142806),Cedric Tillman,40142806,WR/FLEX,4200,CLE@DET 09/28/2025 01:00PM ET,CLE,10.67
RB,Keaton Mitchell (40142554),Keaton Mitchell,40142554,RB/FLEX,4200,BAL@KC 09/28/2025 04:25PM ET,BAL,0
WR,Tre Tucker (40142808),Tre Tucker,40142808,WR/FLEX,4200,CHI@LV 09/28/2025 04:25PM ET,LV,20.73
TE,Zach Ertz (40143148),Zach Ertz,40143148,TE/FLEX,4100,WAS@ATL 09/28/2025 01:00PM ET,WAS,12.27
