Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Elic Ayomanor (40142820),Elic Ayomanor,40142820,WR/FLEX,3900,TEN@HOU 09/28/2025 01:00PM ET,TEN,10.9
WR,Jayden Higgins (40142822),Jayden Higgins,40142822,WR/FLEX,3900,TEN@HOU 09/28/2025 01:00PM ET,HOU,3.5
TE,Dallas Goedert (40143152),Dallas Goedert,40143152,TE/FLEX,3900,PHI@TB 09/28/2025 01:00PM ET,PHI,10.85
WR,Dont'e Thornton Jr. (40142818),Dont'e Thornton Jr.,40142818,WR/FLEX,3900,CHI@LV 09/28/2025 04:25PM ET,LV,4.8
TE,David Njoku (40143154),David Njoku,40143154,TE/FLEX,3800,CLE@DET 09/28/2025 01:00PM ET,CLE,7.9
WR,DeMario Douglas (40142824),DeMario Douglas,40142824,WR/FLEX,3800,CAR@NE 09/28/2025 01:00PM ET,NE,4.23
WR,Hunter Renfrow (40142826),Hunter Renfrow,40142826,WR/FLEX,3800,CAR@NE 09/28/2025 01:00PM ET,CAR,9.83
WR,JuJu Smith-Schuster (40142828),JuJu Smith-Schuster,40142828,WR/FLEX,3800,BAL@KC 09/28/2025 04:25PM ET,KC,7.17
WR,Ray-Ray McCloud III (40142832),Ray-Ray McCloud III,40142832,WR/FLEX,3700,WAS@ATL 09/28/2025 01:00PM ET,ATL,4.03
DST,Bills  (40143366),Bills ,40143366,DST,3700,NO@BUF 09/28/2025 01:00PM ET,BUF,4
