position,name + id,name,id,roster position,salary,game info,teamabbrev,avgpointspergame,team,projpts,projown
RB,Christian McCaffrey (40142470),Christian McCaffrey,40142470,RB/FLEX,8500,JAX@SF 09/28/2025 04:05PM ET,SF,23.3,49ers,23.5,32.0
RB,Bijan Robinson (40142472),Bijan Robinson,40142472,RB/FLEX,8200,WAS@ATL 09/28/2025 01:00PM ET,ATL,22.1,Falcons,22.0,15.8
WR,Puka Nacua (40142716),Puka Nacua,40142716,WR/FLEX,7900,IND@LAR 09/28/2025 04:05PM ET,LAR,26.5,Rams,20.0,38.4
QB,Josh Allen (40142394),Josh Allen,40142394,QB,7700,NO@BUF 09/28/2025 01:00PM ET,BUF,25.53,Bills,24.2,5.0
RB,Jahmyr Gibbs (40142474),Jahmyr Gibbs,40142474,RB/FLEX,7700,CLE@DET 09/28/2025 01:00PM ET,DET,20.43,Lions,17.6,12.1
RB,Saquon Barkley (40142476),Saquon Barkley,40142476,RB/FLEX,7600,PHI@TB 09/28/2025 01:00PM ET,PHI,15.1,Eagles,16.6,10.8
RB,Jonathan Taylor (40142478),Jonathan Taylor,40142478,RB/FLEX,7500,IND@LAR 09/28/2025 04:05PM ET,IND,27.03,Colts,17.4,18.6
QB,Lamar Jackson (40142395),Lamar Jackson,40142395,QB,7500,BAL@KC 09/28/2025 04:25PM ET,BAL,27.56,Ravens,22.6,4.0
WR,Nico Collins (40142718),Nico Collins,40142718,WR/FLEX,7400,TEN@HOU 09/28/2025 01:00PM ET,HOU,15.37,Texans,16.6,8.2
WR,Amon-Ra St. Brown (40142720),Amon-Ra St. Brown,40142720,WR/FLEX,7300,CLE@DET 09/28/2025 01:00PM ET,DET,23.8,Lions,21.3,12.2
RB,Derrick Henry (40142480),Derrick Henry,40142480,RB/FLEX,7200,BAL@KC 09/28/2025 04:25PM ET,BAL,15.73,Ravens,16.0,5.7
RB,James Cook III (40142482),James Cook III,40142482,RB/FLEX,7100,NO@BUF 09/28/2025 01:00PM ET,BUF,24.83,Bills,18.9,21.0
QB,Jayden Daniels (40142396),Jayden Daniels,40142396,QB,7000,WAS@ATL 09/28/2025 01:00PM ET,WAS,19.91,Commanders,0.0,0.0
WR,Malik Nabers (40142722),Malik Nabers,40142722,WR/FLEX,7000,LAC@NYG 09/28/2025 01:00PM ET,NYG,18.7,Giants,17.2,13.8
RB,Bucky Irving (40142484),Bucky Irving,40142484,RB/FLEX,6900,PHI@TB 09/28/2025 01:00PM ET,TB,15.5,Buccaneers,15.7,10.8
WR,Emeka Egbuka (40142724),Emeka Egbuka,40142724,WR/FLEX,6800,PHI@TB 09/28/2025 01:00PM ET,TB,17.0,Buccaneers,15.7,3.5
QB,Jalen Hurts (40142397),Jalen Hurts,40142397,QB,6700,PHI@TB 09/28/2025 01:00PM ET,PHI,21.95,Eagles,22.5,5.8
WR,Zay Flowers (40142726),Zay Flowers,40142726,WR/FLEX,6700,BAL@KC 09/28/2025 04:25PM ET,BAL,16.43,Ravens,15.6,7.6
WR,Mike Evans (40142728),Mike Evans,40142728,WR/FLEX,6600,PHI@TB 09/28/2025 01:00PM ET,TB,11.33,Buccaneers,0.0,0.0
WR,Ladd McConkey (40142730),Ladd McConkey,40142730,WR/FLEX,6500,LAC@NYG 09/28/2025 01:00PM ET,LAC,10.43,Chargers,15.5,7.4
QB,Baker Mayfield (40142398),Baker Mayfield,40142398,QB,6500,PHI@TB 09/28/2025 01:00PM ET,TB,20.07,Buccaneers,15.7,1.0
QB,Jared Goff (40142399),Jared Goff,40142399,QB,6400,CLE@DET 09/28/2025 01:00PM ET,DET,20.51,Lions,17.4,1.2
WR,A.J. Brown (40142732),A.J. Brown,40142732,WR/FLEX,6400,PHI@TB 09/28/2025 01:00PM ET,PHI,11.8,Eagles,15.8,9.1
QB,Justin Herbert (40142400),Justin Herbert,40142400,QB,6300,LAC@NYG 09/28/2025 01:00PM ET,LAC,23.1,Chargers,21.9,6.6
RB,Kyren Williams (40142486),Kyren Williams,40142486,RB/FLEX,6300,IND@LAR 09/28/2025 04:05PM ET,LAR,14.37,Rams,14.4,15.3
WR,Rome Odunze (40142734),Rome Odunze,40142734,WR/FLEX,6300,CHI@LV 09/28/2025 04:25PM ET,CHI,21.9,Bears,16.5,15.4
WR,Davante Adams (40142736),Davante Adams,40142736,WR/FLEX,6200,IND@LAR 09/28/2025 04:05PM ET,LAR,16.43,Rams,17.0,13.0
RB,Ashton Jeanty (40142488),Ashton Jeanty,40142488,RB/FLEX,6200,CHI@LV 09/28/2025 04:25PM ET,LV,8.57,Raiders,15.1,11.4
RB,Alvin Kamara (40142490),Alvin Kamara,40142490,RB/FLEX,6100,NO@BUF 09/28/2025 01:00PM ET,NO,12.43,Saints,14.3,5.6
QB,Brock Purdy (40142401),Brock Purdy,40142401,QB,6100,JAX@SF 09/28/2025 04:05PM ET,SF,18.78,49ers,21.0,2.4
WR,Brian Thomas Jr. (40142738),Brian Thomas Jr.,40142738,WR/FLEX,6100,JAX@SF 09/28/2025 04:05PM ET,JAX,8.47,Jaguars,14.3,6.8
WR,Deebo Samuel Sr. (40142740),Deebo Samuel Sr.,40142740,WR/FLEX,6000,WAS@ATL 09/28/2025 01:00PM ET,WAS,14.97,Commanders,13.4,7.7
RB,Chuba Hubbard (40142492),Chuba Hubbard,40142492,RB/FLEX,6000,CAR@NE 09/28/2025 01:00PM ET,CAR,15.4,Panthers,14.3,4.3
WR,Chris Godwin Jr. (40142742),Chris Godwin Jr.,40142742,WR/FLEX,6000,PHI@TB 09/28/2025 01:00PM ET,TB,0.0,Buccaneers,5.8,0.6
QB,Patrick Mahomes (40142402),Patrick Mahomes,40142402,QB,6000,BAL@KC 09/28/2025 04:25PM ET,KC,20.75,Chiefs,20.8,4.7
WR,Jameson Williams (40142744),Jameson Williams,40142744,WR/FLEX,5900,CLE@DET 09/28/2025 01:00PM ET,DET,11.57,Lions,12.3,1.5
WR,Tetairoa McMillan (40142746),Tetairoa McMillan,40142746,WR/FLEX,5900,CAR@NE 09/28/2025 01:00PM ET,CAR,12.87,Panthers,15.4,9.5
RB,Omarion Hampton (40142494),Omarion Hampton,40142494,RB/FLEX,5900,LAC@NYG 09/28/2025 01:00PM ET,LAC,12.17,Chargers,15.9,20.0
QB,Matthew Stafford (40142403),Matthew Stafford,40142403,QB,5900,IND@LAR 09/28/2025 04:05PM ET,LAR,15.59,Rams,17.4,7.0
RB,Travis Etienne Jr. (40142496),Travis Etienne Jr.,40142496,RB/FLEX,5800,JAX@SF 09/28/2025 04:05PM ET,JAX,16.7,Jaguars,13.6,4.7
WR,Xavier Worthy (40142748),Xavier Worthy,40142748,WR/FLEX,5800,BAL@KC 09/28/2025 04:25PM ET,KC,0.0,Chiefs,12.2,4.1
QB,Caleb Williams (40142404),Caleb Williams,40142404,QB,5800,CHI@LV 09/28/2025 04:25PM ET,CHI,23.77,Bears,21.3,9.9
TE,Brock Bowers (40143134),Brock Bowers,40143134,TE/FLEX,5800,CHI@LV 09/28/2025 04:25PM ET,LV,12.3,Raiders,15.8,13.7
WR,Drake London (40142750),Drake London,40142750,WR/FLEX,5700,WAS@ATL 09/28/2025 01:00PM ET,ATL,10.3,Falcons,16.8,16.6
RB,David Montgomery (40142498),David Montgomery,40142498,RB/FLEX,5700,CLE@DET 09/28/2025 01:00PM ET,DET,17.93,Lions,12.1,2.1
WR,Ricky Pearsall (40142752),Ricky Pearsall,40142752,WR/FLEX,5700,JAX@SF 09/28/2025 04:05PM ET,SF,16.57,49ers,14.7,13.3
WR,Keon Coleman (40142754),Keon Coleman,40142754,WR/FLEX,5600,NO@BUF 09/28/2025 01:00PM ET,BUF,12.93,Bills,10.0,1.4
RB,Tony Pollard (40142500),Tony Pollard,40142500,RB/FLEX,5600,TEN@HOU 09/28/2025 01:00PM ET,TEN,10.67,Titans,11.7,5.7
QB,Daniel Jones (40142405),Daniel Jones,40142405,QB,5600,IND@LAR 09/28/2025 04:05PM ET,IND,23.71,Colts,20.4,8.8
WR,DJ Moore (40142756),DJ Moore,40142756,WR/FLEX,5600,CHI@LV 09/28/2025 04:25PM ET,CHI,10.67,Bears,13.0,4.2
WR,Terry McLaurin (40142758),Terry McLaurin,40142758,WR/FLEX,5500,WAS@ATL 09/28/2025 01:00PM ET,WAS,8.3,Commanders,0.0,0.0
