position,name + id,name,id,roster position,salary,game info,teamabbrev,avgpointspergame,team,projpts,projown
WR,Jaylin Noel (40058704),Jaylin Noel,40058704,WR/FLEX,3200,HOU@JAX 09/21/2025 01:00PM ET,HOU,0.85,Texans,6.0,0.0
TE,Mike Gesicki (40059064),Mike Gesicki,40059064,TE/FLEX,3200,CIN@MIN 09/21/2025 01:00PM ET,CIN,3.6,Bengals,6.1,0.6
WR,Ben Skowronek (40058702),Ben Skowronek,40058702,WR/FLEX,3200,PIT@NE 09/21/2025 01:00PM ET,PIT,4.6,Steelers,4.3,0.0
WR,Tutu Atwell (40058708),Tutu Atwell,40058708,WR/FLEX,3200,LAR@PHI 09/21/2025 01:00PM ET,LAR,0.7,Rams,5.4,0.0
WR,Adonai Mitchell (40058698),Adonai Mitchell,40058698,WR/FLEX,3200,IND@TEN 09/21/2025 01:00PM ET,IND,4.05,Colts,5.7,0.0
WR,Jaylin Lane (40058700),Jaylin Lane,40058700,WR/FLEX,3200,LV@WAS 09/21/2025 01:00PM ET,WAS,1.65,Commanders,6.9,0.2
WR,Devaughn Vele (40058706),Devaughn Vele,40058706,WR/FLEX,3200,NO@SEA 09/21/2025 04:05PM ET,NO,4.8,Saints,5.0,0.0
WR,Jalen Tolbert (40058710),Jalen Tolbert,40058710,WR/FLEX,3200,DAL@CHI 09/21/2025 04:25PM ET,DAL,2.3,Cowboys,6.6,0.4
TE,Colston Loveland (40059062),Colston Loveland,40059062,TE/FLEX,3200,DAL@CHI 09/21/2025 04:25PM ET,CHI,1.6,Bears,6.2,0.4
WR,Casey Washington (40058722),Casey Washington,40058722,WR/FLEX,3100,ATL@CAR 09/21/2025 01:00PM ET,ATL,6.3,Falcons,0.0,0.0
WR,Isaiah Bond (40058712),Isaiah Bond,40058712,WR/FLEX,3100,GB@CLE 09/21/2025 01:00PM ET,CLE,2.0,Browns,4.6,0.0
WR,Malik Heath (40058716),Malik Heath,40058716,WR/FLEX,3100,GB@CLE 09/21/2025 01:00PM ET,GB,2.35,Packers,5.3,0.0
WR,Mitchell Tinsley (40058724),Mitchell Tinsley,40058724,WR/FLEX,3100,CIN@MIN 09/21/2025 01:00PM ET,CIN,4.15,Bengals,4.1,0.0
TE,Noah Fant (40059068),Noah Fant,40059068,TE/FLEX,3100,CIN@MIN 09/21/2025 01:00PM ET,CIN,9.2,Bengals,5.8,0.2
WR,Mack Hollins (40058726),Mack Hollins,40058726,WR/FLEX,3100,PIT@NE 09/21/2025 01:00PM ET,NE,4.55,Patriots,5.2,0.1
TE,Pat Freiermuth (40059066),Pat Freiermuth,40059066,TE/FLEX,3100,PIT@NE 09/21/2025 01:00PM ET,PIT,5.95,Steelers,6.5,1.2
DST,Eagles  (40059312),Eagles ,40059312,DST,3100,LAR@PHI 09/21/2025 01:00PM ET,PHI,4.0,Eagles,7.1,1.6
WR,Luke McCaffrey (40058718),Luke McCaffrey,40058718,WR/FLEX,3100,LV@WAS 09/21/2025 01:00PM ET,WAS,2.45,Commanders,5.5,0.0
WR,Pat Bryant (40058720),Pat Bryant,40058720,WR/FLEX,3100,DEN@LAC 09/21/2025 04:05PM ET,DEN,1.9,Broncos,5.8,0.0
WR,Greg Dortch (40058714),Greg Dortch,40058714,WR/FLEX,3100,ARI@SF 09/21/2025 04:25PM ET,ARI,1.45,Cardinals,4.6,0.0
DST,49ers  (40059313),49ers ,40059313,DST,3100,ARI@SF 09/21/2025 04:25PM ET,SF,7.0,49ers,7.2,1.2
WR,KhaDarel Hodge (40058738),KhaDarel Hodge,40058738,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0.0,Falcons,3.9,0.0
WR,Brycen Tremayne (40058994),Brycen Tremayne,40058994,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,3.9,Panthers,5.0,0.0
WR,David Moore (40058996),David Moore,40058996,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0.0,Panthers,4.0,0.0
WR,Jimmy Horn Jr. (40058998),Jimmy Horn Jr.,40058998,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0.0,Panthers,3.1,0.0
WR,Dalevon Campbell (40059000),Dalevon Campbell,40059000,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0.0,Panthers,0.0,0.0
WR,Jalen Coker (40059002),Jalen Coker,40059002,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0.0,Panthers,0.0,0.0
WR,Ainias Smith (40059004),Ainias Smith,40059004,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0.0,Panthers,0.0,0.0
WR,Ja'seem Reed (40059006),Ja'seem Reed,40059006,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,CAR,0.0,Panthers,0.0,0.0
WR,Jamal Agnew (40059008),Jamal Agnew,40059008,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0.0,Falcons,0.0,0.0
WR,David Sills V (40059010),David Sills V,40059010,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0.0,Falcons,0.0,0.0
WR,Dylan Drummond (40059012),Dylan Drummond,40059012,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0.0,Falcons,0.0,0.0
WR,Nick Nash (40059014),Nick Nash,40059014,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0.0,Falcons,0.0,0.0
WR,Chris Blair (40059016),Chris Blair,40059016,WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0.0,Falcons,0.0,0.0
WR,Jayden Reed (40058734),Jayden Reed,40058734,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,GB,6.75,Packers,0.0,0.0
WR,Jamari Thrash (40058742),Jamari Thrash,40058742,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,1.55,Browns,4.4,0.0
WR,Christian Watson (40058976),Christian Watson,40058976,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,GB,0.0,Packers,0.0,0.0
WR,Isaiah Neyor (40058978),Isaiah Neyor,40058978,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,GB,0.0,Packers,0.0,0.0
WR,Will Sheppard (40058980),Will Sheppard,40058980,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,GB,0.0,Packers,0.0,0.0
WR,Mecole Hardman (40058982),Mecole Hardman,40058982,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,GB,0.0,Packers,0.0,0.0
WR,DeAndre Carter (40058984),DeAndre Carter,40058984,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,0.0,Browns,3.3,0.0
WR,David Bell (40058986),David Bell,40058986,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,0.0,Browns,0.0,0.0
WR,Cade McDonald (40058988),Cade McDonald,40058988,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,0.0,Browns,0.0,0.0
WR,Kaden Davis (40058990),Kaden Davis,40058990,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,0.0,Browns,0.0,0.0
WR,Malachi Corley (40058992),Malachi Corley,40058992,WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,0.0,Browns,0.0,0.0
WR,Justin Watson (40058732),Justin Watson,40058732,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,3.0,Texans,0.0,0.0
WR,Tim Patrick (40058956),Tim Patrick,40058956,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,JAX,0.0,Jaguars,4.5,0.0
WR,Joshua Cephus (40058958),Joshua Cephus,40058958,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,JAX,0.0,Jaguars,0.0,0.0
WR,Austin Trammell (40058960),Austin Trammell,40058960,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,JAX,0.0,Jaguars,0.0,0.0
WR,Erik Ezukanma (40058962),Erik Ezukanma,40058962,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,JAX,0.0,Jaguars,0.0,0.0
WR,Chandler Brayboy (40058964),Chandler Brayboy,40058964,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,JAX,0.0,Jaguars,0.0,0.0
WR,Braxton Berrios (40058966),Braxton Berrios,40058966,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,0.0,Texans,3.2,0.0
WR,Tank Dell (40058968),Tank Dell,40058968,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,0.0,Texans,0.0,0.0
WR,Josh Kelly (40058970),Josh Kelly,40058970,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,0.0,Texans,0.0,0.0
WR,Jared Wayne (40058972),Jared Wayne,40058972,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,0.0,Texans,0.0,0.0
WR,Silas Bolden (40058974),Silas Bolden,40058974,WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,0.0,Texans,0.0,0.0
WR,Tai Felton (40058730),Tai Felton,40058730,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0.0,Vikings,3.7,0.0
WR,Myles Price (40058936),Myles Price,40058936,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,-0.5,Vikings,2.8,0.0
