position,name + id,name,id,roster position,salary,game info,teamabbrev,avgpointspergame,team,projpts,projown
WR,Tre' Harris (40058820),Tre' Harris,40058820,WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,LAC,3.75,Chargers,5.3,0.0
WR,KeAndre Lambert-Smith (40058822),KeAndre Lambert-Smith,40058822,WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,LAC,0.0,Chargers,4.6,0.0
WR,Derius Davis (40058824),Derius Davis,40058824,WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,LAC,0.15,Chargers,4.2,0.0
WR,Luke Grimm (40058826),Luke Grimm,40058826,WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,LAC,0.0,Chargers,0.0,0.0
WR,JaQuae Jackson (40058828),JaQuae Jackson,40058828,WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,LAC,0.0,Chargers,0.0,0.0
WR,Trent Sherfield Sr. (40058830),Trent Sherfield Sr.,40058830,WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,DEN,1.3,Broncos,4.3,0.0
WR,Thayer Thomas (40058832),Thayer Thomas,40058832,WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,DEN,0.0,Broncos,0.0,0.0
WR,Michael Bandy (40058834),Michael Bandy,40058834,WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,DEN,0.0,Broncos,0.0,0.0
WR,A.T. Perry (40058836),A.T. Perry,40058836,WR/FLEX,3000,DEN@LAC 09/21/2025 04:05PM ET,DEN,0.0,Broncos,0.0,0.0
DST,Broncos  (40059315),Broncos ,40059315,DST,3000,DEN@LAC 09/21/2025 04:05PM ET,DEN,7.0,Broncos,7.2,1.3
WR,Jake Bobo (40058794),Jake Bobo,40058794,WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0.0,Seahawks,4.8,0.0
WR,Dareke Young (40058796),Dareke Young,40058796,WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0.0,Seahawks,3.4,0.0
WR,Courtney Jackson (40058798),Courtney Jackson,40058798,WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0.0,Seahawks,0.0,0.0
WR,Cody White (40058800),Cody White,40058800,WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0.0,Seahawks,0.0,0.0
WR,Ricky White III (40058802),Ricky White III,40058802,WR/FLEX,3000,NO@SEA 09/21/2025 04:05PM ET,SEA,0.0,Seahawks,0.0,0.0
