Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
798,4861867723,pekopf,0,171.42,DST Commanders  FLEX Kenneth Walker III QB Caleb Williams RB Bijan Robinson RB Jordan Mason TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
798,4862389992,msangali,0,171.42,DST Commanders  FLEX Kenneth Walker III QB Drake Maye RB Christian McCaffrey RB Jordan Mason TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
798,4863442394,HowxHow2,0,171.42,DST Colts  FLEX Christian McCaffrey QB Drake Maye RB Bijan Robinson RB Jordan Mason TE Juwan Johnson WR Ricky Pearsall WR Rome Odunze WR Keenan Allen,,,
798,4865446383,sg76,0,171.42,DST Commanders  FLEX Bijan Robinson QB Caleb Williams RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
805,4862643252,kped_austin,0,171.38,DST Raiders  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Ja'Tavion Sanders WR Puka Nacua WR Jaxon Smith-Njigba WR Rome Odunze,,,
805,4862886389,kclutch,0,171.38,DST Texans  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Puka Nacua WR Rome Odunze WR Keenan Allen,,,
807,4862037455,MustSeeEV,0,171.32,DST Raiders  FLEX Jordan Mason QB Caleb Williams RB Bijan Robinson RB Jonathan Taylor TE Juwan Johnson WR Jaxon Smith-Njigba WR George Pickens WR Rome Odunze,,,
807,4864994700,amcnally111,0,171.31999,DST Bengals  FLEX Christian McCaffrey QB Caleb Williams RB Bijan Robinson RB Jordan Mason TE Jake Ferguson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
807,4865642699,kripto6,0,171.31999,DST Bengals  FLEX Jordan Mason QB Caleb Williams RB Christian McCaffrey RB Bijan Robinson TE Jake Ferguson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
810,4863939090,SpamLite,0,171.26001,DST Seahawks  FLEX Bijan Robinson QB Mac Jones RB Jonathan Taylor RB Kenneth Walker III TE Juwan Johnson WR George Pickens WR Ricky Pearsall WR Keenan Allen,,,
811,4862710182,EazyE242,0,171.22,DST Jaguars  FLEX Christian McCaffrey QB Caleb Williams RB Kenneth Walker III RB Jordan Mason TE Juwan Johnson WR Jaxon Smith-Njigba WR Davante Adams WR Rome Odunze,,,
812,4862747442,puckit.biz,0,171.12001,DST Falcons  FLEX Jordan Mason QB Drake Maye RB Christian McCaffrey RB Jonathan Taylor TE Juwan Johnson WR Jaxon Smith-Njigba WR Jakobi Meyers WR Keenan Allen,,,
813,4863549673,jlandry1977,0,171.08002,DST Packers  FLEX Tyler Warren QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,,
814,4864264067,KapKidd,0,171,DST Vikings  FLEX Chuba Hubbard QB Justin Herbert RB Jonathan Taylor RB Javonte Williams TE Brock Bowers WR Rome Odunze WR Michael Pittman Jr. WR Keenan Allen,,,
815,4865645697,markuskulik1,0,170.98,DST Steelers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Jake Ferguson WR CeeDee Lamb WR Rome Odunze WR Keenan Allen,,,
816,4860374766,Ravenlen,0,170.94,DST Colts  FLEX Kenneth Walker III QB Dak Prescott RB Jonathan Taylor RB Jordan Mason TE Juwan Johnson WR Justin Jefferson WR Ricky Pearsall WR Rome Odunze,,,
816,4864858439,dwade4life5,0,170.94,DST Steelers  FLEX Puka Nacua QB Dak Prescott RB Kenneth Walker III RB Jordan Mason TE Juwan Johnson WR Nico Collins WR George Pickens WR Rome Odunze,,,
818,4859391489,mrxkronz,0,170.92,DST Packers  FLEX Christian McCaffrey QB Caleb Williams RB Jonathan Taylor RB Jordan Mason TE Pat Freiermuth WR George Pickens WR DJ Moore WR Rome Odunze,,,
819,4864162579,JathanH,0,170.82,DST Packers  FLEX Kenneth Walker III QB Caleb Williams RB Bijan Robinson RB Jonathan Taylor TE Trey McBride WR Rome Odunze WR Keenan Allen WR Elic Ayomanor,,,
819,4864797342,Boss56,0,170.82,DST Seahawks  FLEX Bijan Robinson QB Carson Wentz RB Jonathan Taylor RB Kenneth Walker III TE Juwan Johnson WR Jaxon Smith-Njigba WR Ricky Pearsall WR Rome Odunze,,,
821,4858571251,Bankster17,0,170.72,DST Browns  FLEX Jordan Mason QB Drake Maye RB Bijan Robinson RB Kenneth Walker III TE Trey McBride WR Puka Nacua WR Rome Odunze WR Keenan Allen,,,
821,4861451683,westspec,0,170.72,DST Browns  FLEX Jordan Mason QB Drake Maye RB Bijan Robinson RB Kenneth Walker III TE Trey McBride WR Puka Nacua WR Rome Odunze WR Keenan Allen,,,
821,4862794850,jcscott16,0,170.72,DST Raiders  FLEX Christian McCaffrey QB Drake Maye RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Ricky Pearsall WR Rome Odunze WR Keenan Allen,,,
824,4862831067,amiller134,0,170.62001,DST Seahawks  FLEX Jordan Mason QB Caleb Williams RB Saquon Barkley RB Kenneth Walker III TE Juwan Johnson WR Puka Nacua WR Rome Odunze WR Michael Pittman Jr.,,,
825,4859801325,reilo15,0,170.52,DST Colts  FLEX Christian McCaffrey QB Drake Maye RB Kenneth Walker III RB Jordan Mason TE Juwan Johnson WR Puka Nacua WR Jakobi Meyers WR Keenan Allen,,,
825,4861602610,Boolies,0,170.52,DST Raiders  FLEX Christian McCaffrey QB Daniel Jones RB Kenneth Walker III RB Jordan Mason TE Jake Ferguson WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,,
825,4863178760,Troc_44,0,170.52,DST Steelers  FLEX DJ Moore QB Caleb Williams RB Christian McCaffrey RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
825,4864690965,Scottmartin37,0,170.52,DST Colts  FLEX Jaylen Warren QB Drake Maye RB Christian McCaffrey RB Jordan Mason TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
825,4864947536,WearJ,0,170.52,DST Raiders  FLEX Jordan Mason QB Daniel Jones RB Christian McCaffrey RB Kenneth Walker III TE Jake Ferguson WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,,
825,4865295580,YoungRaven,0,170.52,DST Packers  FLEX Christian McCaffrey QB Drake Maye RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Ricky Pearsall WR Rome Odunze WR Keenan Allen,,,
831,4857357785,hardybunch,0,170.42001,DST Texans  FLEX Kenneth Walker III QB Caleb Williams RB Bijan Robinson RB Jonathan Taylor TE Juwan Johnson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
831,4863587832,Doc1863,0,170.42,DST Commanders  FLEX Christian McCaffrey QB Caleb Williams RB Kenneth Walker III RB Jordan Mason TE Juwan Johnson WR Jaxon Smith-Njigba WR George Pickens WR DK Metcalf,,,
831,4864124628,jaydrafted,0,170.42,DST Steelers  FLEX Keenan Allen QB Carson Wentz RB Bijan Robinson RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Rome Odunze,,,
834,4865573671,zigivt,0,170.32,DST Vikings  FLEX Keenan Allen QB Caleb Williams RB Saquon Barkley RB Javonte Williams TE Jonnu Smith WR Puka Nacua WR Ricky Pearsall WR Rome Odunze,,,
834,4862775790,RonSantosCubs10,0,170.31999,DST Seahawks  FLEX Chase Brown QB Caleb Williams RB Bijan Robinson RB Jordan Mason TE Jake Ferguson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
834,4863853956,JakeDay9,0,170.31999,DST Jets  FLEX Kenneth Walker III QB Caleb Williams RB Bijan Robinson RB Jordan Mason TE Jake Ferguson WR Puka Nacua WR Jakobi Meyers WR Rome Odunze,,,
837,4863329526,ketchup1,0,170.23999,DST Vikings  FLEX Jonathan Taylor QB Dak Prescott RB Kenneth Walker III RB Jordan Mason TE Juwan Johnson WR CeeDee Lamb WR Rome Odunze WR Keenan Allen,,,
838,4863387170,sanman1881,0,170.22,DST Colts  FLEX Javonte Williams QB Carson Wentz RB Christian McCaffrey RB Jonathan Taylor TE Juwan Johnson WR Jaxon Smith-Njigba WR Rome Odunze WR DeVonta Smith,,,
839,4865579969,bifferson,0,170.2,DST Vikings  FLEX Christian McCaffrey QB Justin Herbert RB Kenneth Walker III RB Jordan Mason TE Zach Ertz WR Emeka Egbuka WR DK Metcalf WR Keenan Allen,,,
840,4864153329,soxbeisbol,0,170.18001,DST Bengals  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Juwan Johnson WR Ja'Marr Chase WR Puka Nacua WR Ricky Pearsall,,,
841,4863534087,mackpate,0,170.12,DST Seahawks  FLEX Jonathan Taylor QB Caleb Williams RB Javonte Williams RB Jordan Mason TE Brock Bowers WR Deebo Samuel Sr. WR Rome Odunze WR Keenan Allen,,,
842,4861333540,ritztiki,0,170.04,DST Packers  FLEX Jake Ferguson QB Dak Prescott RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Puka Nacua WR A.J. Brown WR Rome Odunze,,,
843,4865196069,russejl0,0,170.02002,DST Colts  FLEX Jonathan Taylor QB Drake Maye RB Christian McCaffrey RB Jordan Mason TE Juwan Johnson WR Brian Thomas Jr. WR Jakobi Meyers WR Keenan Allen,,,
844,4865389064,ybc_15,0,169.98,DST Browns  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Jake Ferguson WR CeeDee Lamb WR Nico Collins WR Keenan Allen,,,
845,4865629455,jbergo,0,169.92,DST Browns  FLEX Christian McCaffrey QB Carson Wentz RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Justin Jefferson WR A.J. Brown WR Michael Pittman Jr.,,,
846,4861197869,pchaput,0,169.82,DST Jaguars  FLEX Javonte Williams QB Caleb Williams RB Bijan Robinson RB Jonathan Taylor TE Juwan Johnson WR George Pickens WR Rome Odunze WR Keenan Allen,,,
846,4863014870,Naven22,0,169.82,DST Seahawks  FLEX Quinshon Judkins QB Caleb Williams RB Kenneth Walker III RB Jordan Mason TE Brock Bowers WR Nico Collins WR DK Metcalf WR Rome Odunze,,,
848,4864753062,rotoball10,0,169.78001,DST Packers  FLEX Kenneth Walker III QB Marcus Mariota RB Bijan Robinson RB Jordan Mason TE Trey McBride WR Jaxon Smith-Njigba WR Garrett Wilson WR Keenan Allen,,,
848,4863324160,mbromelkamp,0,169.78,DST Colts  FLEX Chris Olave QB Marcus Mariota RB Christian McCaffrey RB Kenneth Walker III TE Trey McBride WR Puka Nacua WR Rome Odunze WR Keenan Allen,,,
848,4863740394,kdubzzz,0,169.78,DST Seahawks  FLEX Jordan Mason QB Marcus Mariota RB Bijan Robinson RB Jonathan Taylor TE Tyler Warren WR Justin Jefferson WR Rome Odunze WR Keenan Allen,,,
851,4860942145,teddymyelley,0,169.72,DST Vikings  FLEX Quinshon Judkins QB Caleb Williams RB Christian McCaffrey RB Jordan Mason TE Tucker Kraft WR Davante Adams WR Tetairoa McMillan WR Rome Odunze,,,
851,4865735579,ABTY7,0,169.72,DST Falcons  FLEX Jonathan Taylor QB Caleb Williams RB Travis Etienne Jr. RB Jordan Mason TE Trey McBride WR Terry McLaurin WR Ricky Pearsall WR Rome Odunze,,,
853,4864917758,L_Faction,0,169.68001,DST Colts  FLEX Kenneth Walker III QB Marcus Mariota RB Bijan Robinson RB Jordan Mason TE Juwan Johnson WR Puka Nacua WR Jaxon Smith-Njigba WR Rome Odunze,,,
853,4865077834,Justise15,0,169.68001,DST Browns  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Juwan Johnson WR CeeDee Lamb WR Ricky Pearsall WR Rome Odunze,,,
855,4864943044,barabow,0,169.63998,DST Steelers  FLEX Nico Collins QB Dak Prescott RB Jonathan Taylor RB Kenneth Walker III TE T.J. Hockenson WR Drake London WR George Pickens WR Rome Odunze,,,
856,4863534406,TheDrake813,0,169.62,DST Raiders  FLEX Bijan Robinson QB Caleb Williams RB Kenneth Walker III RB Jordan Mason TE Juwan Johnson WR CeeDee Lamb WR Puka Nacua WR Tre Tucker,,,
857,4857964763,dschryer,0,169.58,DST Commanders  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Mike Evans WR Jaxon Smith-Njigba WR Keenan Allen,,,
857,4862933671,jkane21,0,169.58,DST Commanders  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Mike Evans WR Jaxon Smith-Njigba WR Keenan Allen,,,
857,4862972519,SportsWiseGuy,0,169.58,DST Commanders  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Mike Evans WR Jaxon Smith-Njigba WR Keenan Allen,,,
857,4863155497,bentedges,0,169.58,DST Commanders  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Mike Evans WR Jaxon Smith-Njigba WR Keenan Allen,,,
857,4863736294,Scobud,0,169.58,DST Commanders  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Mike Evans WR Jaxon Smith-Njigba WR Keenan Allen,,,
857,4863757590,matthewknapke,0,169.58,DST Commanders  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Mike Evans WR Jaxon Smith-Njigba WR Keenan Allen,,,
857,4863806984,BGIDomer,0,169.58,DST Commanders  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Mike Evans WR Jaxon Smith-Njigba WR Keenan Allen,,,
857,4863900866,gabrielsportscap,0,169.58,DST Commanders  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Mike Evans WR Jaxon Smith-Njigba WR Keenan Allen,,,
865,4858229491,ncardel,0,169.48,DST Texans  FLEX Jonathan Taylor QB Marcus Mariota RB Bijan Robinson RB Jordan Mason TE Trey McBride WR Jaxon Smith-Njigba WR Jakobi Meyers WR Keenan Allen,,,
866,4864001643,BigBadBid,0,169.44,DST Commanders  FLEX Bijan Robinson QB Dak Prescott RB Jonathan Taylor RB Jordan Mason TE Tyler Warren WR Garrett Wilson WR Rome Odunze WR Keenan Allen,,,
867,4857458888,pbro1983,0,169.42,DST Texans  FLEX Christian McCaffrey QB Drake Maye RB Bijan Robinson RB Jordan Mason TE Jake Ferguson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
867,4859742686,tck5054,0,169.42,DST Texans  FLEX Jordan Mason QB Drake Maye RB Christian McCaffrey RB Bijan Robinson TE Jake Ferguson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
867,4860464499,12nhinrichs,0,169.42,DST Packers  FLEX Kenneth Walker III QB Drake Maye RB Christian McCaffrey RB Jordan Mason TE Juwan Johnson WR Puka Nacua WR Rome Odunze WR Keenan Allen,,,
867,4861763842,rddafl,0,169.42,DST Packers  FLEX Christian McCaffrey QB Drake Maye RB Kenneth Walker III RB Jordan Mason TE Juwan Johnson WR Puka Nacua WR Rome Odunze WR Keenan Allen,,,
867,4862329157,weavesboy,0,169.42,DST Texans  FLEX Jordan Mason QB Drake Maye RB Christian McCaffrey RB Bijan Robinson TE Jake Ferguson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
867,4862789733,robhally,0,169.42,DST Texans  FLEX Christian McCaffrey QB Drake Maye RB Bijan Robinson RB Jordan Mason TE Jake Ferguson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
867,4862879077,Buckless,0,169.42,DST Texans  FLEX Bijan Robinson QB Drake Maye RB Christian McCaffrey RB Jordan Mason TE Jake Ferguson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
867,4863110037,The1Olsen,0,169.42,DST Packers  FLEX Christian McCaffrey QB Drake Maye RB Kenneth Walker III RB Jordan Mason TE Juwan Johnson WR Puka Nacua WR Rome Odunze WR Keenan Allen,,,
867,4864523879,Tony167,0,169.42,DST Packers  FLEX Kenneth Walker III QB Caleb Williams RB Bijan Robinson RB Jordan Mason TE Juwan Johnson WR Puka Nacua WR Rome Odunze WR Keenan Allen,,,
876,4856277325,timjmac88,0,169.37999,DST Browns  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Jake Ferguson WR CeeDee Lamb WR Puka Nacua WR Keenan Allen,,,
876,4857971550,TOlson21,0,169.37999,DST Browns  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Jake Ferguson WR CeeDee Lamb WR Puka Nacua WR Keenan Allen,,,
878,4865549170,rider191,0,169.22,DST Falcons  FLEX Christian McCaffrey QB Caleb Williams RB Jonathan Taylor RB Jordan Mason TE Juwan Johnson WR Deebo Samuel Sr. WR Rome Odunze WR Keenan Allen,,,
879,4858981261,gouofi,0,169.18001,DST Packers  FLEX Jonathan Taylor QB Marcus Mariota RB Christian McCaffrey RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4860018419,Bird9182,0,169.18001,DST Packers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4861746638,jrog869,0,169.18001,DST Packers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4862518359,bigjoshy,0,169.18001,DST Packers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4862952142,Smashbroskillit83,0,169.18001,DST Packers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4863103948,skimpyblunts,0,169.18001,DST Packers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4863263147,Elijahmark,0,169.18001,DST Packers  FLEX Kenneth Walker III QB Marcus Mariota RB Christian McCaffrey RB Jonathan Taylor TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4863446480,jjelsone0001,0,169.18001,DST Packers  FLEX Jonathan Taylor QB Marcus Mariota RB Christian McCaffrey RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4863694419,sir_czarles,0,169.18001,DST Packers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4864197856,mmeisel,0,169.18001,DST Packers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4864517658,blakeb412,0,169.18001,DST Packers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4865056566,soxtober,0,169.18001,DST Packers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4865131014,jd_31481,0,169.18001,DST Packers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
879,4865514980,johnpreloger,0,169.18001,DST Packers  FLEX Jonathan Taylor QB Marcus Mariota RB Christian McCaffrey RB Kenneth Walker III TE Tyler Warren WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
893,4862272063,cdstout6,0,169.14,DST Packers  FLEX Christian McCaffrey QB Dak Prescott RB Jonathan Taylor RB Jordan Mason TE Juwan Johnson WR Jaxon Smith-Njigba WR Rome Odunze WR Elic Ayomanor,,,
894,4859292780,PANTERA,0,169.12001,DST Raiders  FLEX Christian McCaffrey QB Caleb Williams RB Bijan Robinson RB Jonathan Taylor TE Juwan Johnson WR Rome Odunze WR Michael Pittman Jr. WR Keenan Allen,,,
894,4861317749,zachstevens430,0,169.12,DST Seahawks  FLEX Christian McCaffrey QB Drake Maye RB Bijan Robinson RB Jordan Mason TE Jake Ferguson WR Jakobi Meyers WR Rome Odunze WR Keenan Allen,,,
894,4865640817,Legends2547,0,169.12,DST Browns  FLEX Christian McCaffrey QB Baker Mayfield RB Kenneth Walker III RB Jordan Mason TE Harold Fannin Jr. WR Nico Collins WR Ricky Pearsall WR Rome Odunze,,,
897,4865043895,pjtroy34,0,169.08002,DST Raiders  FLEX Kenneth Walker III QB Marcus Mariota RB Christian McCaffrey RB Jonathan Taylor TE Juwan Johnson WR Puka Nacua WR Davante Adams WR Keenan Allen,,,
897,4865036494,Bjc7291,0,169.08,DST Patriots  FLEX Jordan Mason QB Marcus Mariota RB Christian McCaffrey RB Bijan Robinson TE Juwan Johnson WR Puka Nacua WR Ricky Pearsall WR Keenan Allen,,,
899,4865194408,Hoops_L,0,168.92001,DST Patriots  FLEX Christian McCaffrey QB Drake Maye RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Jakobi Meyers WR Rome Odunze WR Keenan Allen,,,
899,4865339840,hopp_rw,0,168.92001,DST Patriots  FLEX Christian McCaffrey QB Drake Maye RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Jakobi Meyers WR Rome Odunze WR Keenan Allen,,,
901,4862342815,TacTac17,0,168.8,DST Steelers  FLEX Rome Odunze QB Justin Herbert RB Christian McCaffrey RB Jonathan Taylor TE Juwan Johnson WR Puka Nacua WR Keenan Allen WR Troy Franklin,,,
902,4857961558,brazenking,0,168.78,DST Patriots  FLEX Jordan Mason QB Marcus Mariota RB Christian McCaffrey RB Saquon Barkley TE Hunter Henry WR Nico Collins WR Drake London WR Keenan Allen,,,
902,4865684913,mattieg1214,0,168.78,DST Colts  FLEX Davante Adams QB Marcus Mariota RB Jonathan Taylor RB Jaylen Warren TE Tyler Warren WR Nico Collins WR Jaxon Smith-Njigba WR Rome Odunze,,,
904,4861423426,southernbred,0,168.76,DST Colts  FLEX Alvin Kamara QB C.J. Stroud RB Jonathan Taylor RB Jordan Mason TE Harold Fannin Jr. WR Nico Collins WR George Pickens WR Ricky Pearsall,,,
905,4856384263,phillyq99,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4856436247,smoothkg,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4856531584,kademcmath24,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4856806399,hk18,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857065783,alexgroh10,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857535667,doomda59,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857593981,larkel14,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857597102,bcoonen,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857677535,chucktaylor81,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857713934,bjjball44,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857718249,martie21,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857727741,SeanBulldogs,0,168.68001,DST Bengals  FLEX Kenneth Walker III QB Marcus Mariota RB Christian McCaffrey RB Jonathan Taylor TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857748493,sprothero,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857766761,djh0412,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857791004,marksism,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857799961,wijay,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857848398,bpeavler20,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857911851,piep15,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
905,4857915018,archiemeatpants,0,168.68001,DST Bengals  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,,
