Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
15,4858124848,killab2482,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Drake Maye,QB,7.87%,21.22
15,4858461281,81bayberry,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jakobi Meyers,WR,7.86%,9.3
15,4859081505,00wolfpack,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jaguars ,DST,7.57%,12
15,4859225397,ndaniluk,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Commanders ,DST,6.51%,11
15,4859285744,tbone1970,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Patriots ,DST,5.97%,2
15,4859380392,kordet26,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Justin Jefferson,WR,5.90%,12.5
15,4860970738,jessejdog,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,George Pickens,WR,5.77%,17.8
15,4861140912,Riley100,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Colts ,DST,5.54%,15
15,4861264138,Woody3095,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Tetairoa McMillan,WR,5.34%,7.8
15,4861346956,Raiderfanatic2195,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Texans ,DST,5.23%,5
15,4861423877,Gatton2023,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Deebo Samuel Sr.,WR,5.19%,4.9
15,4861509704,bpcologna,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,DK Metcalf,WR,5.00%,12.2
15,4861623184,Vikur1,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Nico Collins,WR,4.86%,26.4
15,4861656629,jdwdj2020,0,193.88,DST Commanders  FLEX Jonathan Taylor QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Bucky Irving,RB,4.45%,13.9
15,4861744160,Idolatrine,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Carson Wentz,QB,4.42%,15.32
15,4861874340,kyleXD,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Seahawks ,DST,4.42%,16
15,4862021127,Rosso624,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Alvin Kamara,FLEX,4.39%,6.6
15,4862379661,bighitfrom20,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jets ,DST,4.28%,9
15,4862452864,TTerhune,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Michael Pittman Jr.,WR,4.26%,19.3
