Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4852565135,calebzsnyder,0,206.86002,DST Ravens  FLEX George Pickens QB Jared Goff RB Christian McCaffrey RB Breece Hall TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jameson Williams WR Rome Odunze,,Christian McCaffrey,RB,72.56%,22.7
2,4852356677,trh1010,0,204.36002,DST Colts  FLEX Ja'Marr Chase QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Harold Fannin Jr. WR CeeDee Lamb WR Davante Adams WR Rome Odunze,,Hollywood Brown,WR,52.76%,8
3,4853930626,mbhurls,0,200.76,DST Cowboys  FLEX De'Von Achane QB Jared Goff RB Jahmyr Gibbs RB James Cook TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR DeAndre Hopkins,,Harold Fannin Jr.,TE,50.17%,9.8
4,4853845501,klegldb06,0,198.86002,DST Rams  FLEX Dylan Sampson QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Trey McBride WR Malik Nabers WR Tetairoa McMillan WR Rome Odunze,,Chase Brown,RB,49.68%,8.5
5,4851706072,crazyjay999,0,198.28,DST Rams  FLEX Elic Ayomanor QB Caleb Williams RB Christian McCaffrey RB Jahmyr Gibbs TE Juwan Johnson WR CeeDee Lamb WR Malik Nabers WR Rome Odunze,,Jaxon Smith-Njigba,WR,44.74%,21.3
6,4850397604,Ribby_Paultz,0,196.5,DST Dolphins  FLEX Amon-Ra St. Brown QB Russell Wilson RB James Cook RB Tony Pollard TE Jake Tonges WR Malik Nabers WR A.J. Brown WR George Pickens,,Rams ,DST,41.17%,8
7,4851519612,BigSack90,0,195.8,DST Seahawks  FLEX Tyquan Thornton QB Lamar Jackson RB Christian McCaffrey RB Jonathan Taylor TE Harold Fannin Jr. WR Malik Nabers WR Tee Higgins WR Jaxon Smith-Njigba,,De'Von Achane,RB,24.49%,26.2
8,4854423353,MAA1985,0,192.70001,DST Patriots  FLEX Noah Fant QB Lamar Jackson RB Jonathan Taylor RB James Cook TE Jake Ferguson WR Puka Nacua WR Tyreek Hill WR Jaxon Smith-Njigba,,Tee Higgins,WR,22.14%,14.6
9,4854400864,dwilliams11,0,192.06,DST Titans  FLEX Ja'Marr Chase QB Jared Goff RB Kenneth Walker III RB TreVeyon Henderson TE Harold Fannin Jr. WR CeeDee Lamb WR Amon-Ra St. Brown WR Kayshon Boutte,,Justin Fields,QB,19.71%,4.98
10,4854400418,eroediger,0,191.76001,DST Titans  FLEX Garrett Wilson QB Mac Jones RB Alvin Kamara RB Chuba Hubbard TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Amon-Ra St. Brown,,Puka Nacua,WR,19.62%,27.6
11,4854330571,W4rzy3d,0,191.14,DST Broncos  FLEX Amon-Ra St. Brown QB Jalen Hurts RB De'Von Achane RB James Cook TE Juwan Johnson WR Jameson Williams WR Ricky Pearsall WR Rome Odunze,,Drake Maye,QB,19.23%,26.3
12,4853436686,bleepingme,0,190.90001,DST Rams  FLEX Rome Odunze QB Drake Maye RB De'Von Achane RB Kyren Williams TE Harold Fannin Jr. WR Ja'Marr Chase WR Puka Nacua WR Calvin Ridley,,CeeDee Lamb,WR,19.13%,23.2
13,4854337240,Trainrec,0,190.38,DST Patriots  FLEX Hollywood Brown QB Justin Fields RB Christian McCaffrey RB Travis Etienne Jr. TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Rome Odunze,,Travis Etienne Jr.,FLEX,17.89%,16.9
14,4850568281,juddrfishman11,0,188.76001,DST Rams  FLEX Kyren Williams QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Jake Ferguson WR Ja'Marr Chase WR Hollywood Brown WR Rome Odunze,,Kyren Williams,FLEX,17.14%,10
14,4854027806,bigdogingram,0,188.76001,DST Rams  FLEX Marvin Harrison Jr. QB Mac Jones RB Kyren Williams RB Javonte Williams TE Jake Ferguson WR Ja'Marr Chase WR Malik Nabers WR Jaxon Smith-Njigba,,James Conner,RB,14.02%,12.2
16,4852571145,epperly7,0,188.68,DST Rams  FLEX Ja'Marr Chase QB Caleb Williams RB Christian McCaffrey RB Javonte Williams TE Juwan Johnson WR Puka Nacua WR Michael Pittman Jr. WR Troy Franklin,,Chris Olave,WR,13.76%,11.4
