sum_projpts,avg_projpts,std_projpts,sum_projown,max_projown,num_chalk,num_value,sum_value,avg_salary,num_stacks,qb_wr_stacks,pos_rb,pos_wr,pos_te,pos_qb,pos_dst,avg_floor,min_floor,num_boom_bust,target_points,target_cash
143.5,15.944444444444445,5.271118605953075,136.0,31.6,0,5,25.57502794627002,5555.555555555556,0,0,0,0,0,1,1,15.587777777777777,5.0,0,212.02,1
139.0,15.444444444444445,5.074141659457973,160.0,31.6,0,6,25.105926264916924,5544.444444444444,0,0,0,0,0,1,1,14.883333333333333,0.0,0,207.78,1
146.8,16.31111111111111,4.230955879505362,158.9,31.6,0,6,26.594520980817556,5555.555555555556,0,0,0,0,0,1,1,16.426666666666666,5.0,0,205.31999,1
142.7,15.855555555555558,3.5033669871872655,183.2,38.5,0,5,26.029391796944772,5544.444444444444,0,0,0,0,0,1,1,13.133333333333333,0.0,0,199.68,1
146.6,16.288888888888888,4.396828261989783,181.4,38.5,0,5,26.447410831438805,5555.555555555556,0,0,0,0,0,1,1,17.34333333333333,5.0,0,199.32,1
144.3,16.033333333333335,4.332307570901318,163.3,31.6,0,5,26.13507557472661,5544.444444444444,0,0,0,0,0,1,1,17.709999999999997,7.0,0,199.12,1
131.6,14.622222222222222,3.418829487080102,103.2,31.6,0,8,24.074121241709765,5533.333333333333,0,0,0,0,0,1,1,13.876666666666667,7.0,0,198.31999,1
134.5,14.944444444444445,4.094742187274666,169.3,38.5,0,6,24.306697397849845,5555.555555555556,0,0,0,0,0,1,1,13.394444444444446,0.0,0,195.08,1
136.6,15.177777777777777,3.780881078319584,177.6,38.5,0,6,24.8284299206462,5533.333333333333,0,0,0,0,0,1,1,14.833333333333334,0.0,0,194.88,1
136.6,15.177777777777777,3.780881078319584,177.6,38.5,0,6,24.8284299206462,5533.333333333333,0,0,0,0,0,1,1,14.833333333333334,0.0,0,194.88,1
136.6,15.177777777777777,3.780881078319584,177.6,38.5,0,6,24.8284299206462,5533.333333333333,0,0,0,0,0,1,1,14.833333333333334,0.0,0,194.88,1
136.6,15.177777777777777,3.780881078319584,177.6,38.5,0,6,24.8284299206462,5533.333333333333,0,0,0,0,0,1,1,14.833333333333334,0.0,0,194.88,1
146.2,16.244444444444444,3.802955316040733,180.4,38.5,0,4,26.740272194739887,5555.555555555556,0,0,0,0,0,1,1,15.261111111111113,0.0,0,194.78,1
141.7,15.744444444444447,4.007523788273782,172.0,31.6,0,5,25.919008498803528,5533.333333333333,0,0,0,0,0,1,1,15.027777777777779,0.0,0,194.28,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
137.4,15.266666666666667,3.554965228771975,179.9,38.5,0,6,24.964144206360487,5555.555555555556,0,0,0,0,0,1,1,14.38888888888889,0.0,0,193.88,1
138.1,15.344444444444447,2.49448775018088,156.5,31.6,0,6,25.511051319684224,5555.555555555556,0,0,0,0,0,1,1,14.633333333333333,0.0,0,193.78,1
139.7,15.522222222222224,5.525250678632454,157.9,31.6,0,5,24.524914858996816,5544.444444444444,0,0,0,0,0,1,1,18.04444444444444,2.5,0,193.4,1
141.1,15.677777777777777,4.647048711644311,166.4,38.5,0,6,25.786711508974776,5522.222222222223,0,0,0,0,0,1,1,16.81111111111111,0.0,0,192.78,1
139.8,15.533333333333331,3.96232255123179,139.5,31.6,0,6,25.376799510761774,5555.555555555556,0,0,0,0,0,1,1,18.273333333333333,7.0,0,192.72,1
141.4,15.711111111111109,2.5092913760415594,182.4,38.5,0,5,26.3547792930519,5511.111111111111,0,0,0,0,0,1,1,15.266666666666667,0.0,0,192.48,1
141.4,15.711111111111109,5.453122335861955,147.6,31.6,0,6,25.179281368932404,5544.444444444444,0,0,0,0,0,1,1,18.009999999999998,1.5,0,192.22,1
141.9,15.766666666666667,4.455209185760966,168.7,38.5,0,6,25.92242579468906,5544.444444444444,0,0,0,0,0,1,1,16.366666666666664,0.0,0,191.78,1
141.5,15.722222222222221,4.018230063038473,158.8,31.6,0,5,25.848825671359926,5555.555555555556,0,0,0,0,0,1,1,14.777777777777779,0.0,0,190.68,1
140.6,15.622222222222222,4.4446666611113885,141.5,28.2,0,7,25.563842775439767,5511.111111111111,0,0,0,0,0,1,1,16.77111111111111,7.0,0,190.42,1
142.1,15.788888888888888,3.876265225544484,171.8,38.5,0,5,26.11232499528914,5522.222222222223,0,0,0,0,0,1,1,14.18888888888889,0.0,0,190.37999,1
140.2,15.57777777777778,4.381470523764514,170.9,31.6,0,5,25.383294213089243,5533.333333333333,0,0,0,0,0,1,1,15.694444444444445,0.0,0,190.28,1
140.2,15.577777777777776,4.381470523764514,170.9,31.6,0,5,25.383294213089243,5533.333333333333,0,0,0,0,0,1,1,15.694444444444441,0.0,0,190.28,1
140.2,15.57777777777778,4.381470523764514,170.9,31.6,0,5,25.383294213089243,5533.333333333333,0,0,0,0,0,1,1,15.694444444444445,0.0,0,190.28,1
140.2,15.57777777777778,4.381470523764514,170.9,31.6,0,5,25.383294213089243,5533.333333333333,0,0,0,0,0,1,1,15.694444444444445,0.0,0,190.28,1
140.2,15.57777777777778,4.381470523764514,170.9,31.6,0,5,25.383294213089243,5533.333333333333,0,0,0,0,0,1,1,15.694444444444445,0.0,0,190.28,1
140.4,15.599999999999998,4.38684903369656,172.0,38.5,0,5,25.676318188555364,5544.444444444444,0,0,0,0,0,1,1,13.55,0.0,0,190.22,1
145.3,16.144444444444446,4.590112831126174,185.2,38.5,0,4,25.98023583208043,5555.555555555556,0,0,0,0,0,1,1,16.18777777777778,5.5,0,190.12,1
144.2,16.022222222222226,5.390274735891952,178.2,38.5,0,5,25.609339569144122,5533.333333333333,0,0,0,0,0,1,1,16.459999999999997,1.5,0,189.92,1
142.79999999999998,15.866666666666667,4.246828882302129,163.7,38.5,0,6,26.222425794689062,5544.444444444444,0,0,0,0,0,1,1,16.533333333333335,0.0,0,189.78,1
131.6,14.622222222222222,4.13031550524164,99.5,22.5,0,7,23.591389290024747,5544.444444444444,0,0,0,0,0,1,1,18.684444444444445,9.15,0,189.76,1
140.2,15.577777777777776,3.8898094148622007,171.0,38.5,0,6,25.388742962867138,5555.555555555556,0,0,0,0,0,1,1,17.654444444444444,7.15,0,189.52,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.249999999999996,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
141.0,15.666666666666666,4.179579989531112,173.2,31.6,0,5,25.519008498803526,5555.555555555556,0,0,0,0,0,1,1,15.25,0.0,0,189.28,1
