Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,lineup_rating
28,4846718285,rteagno,0,185.40001,DST Rams  FLEX Jaylen Warren QB Lamar Jackson RB Christian McCaffrey RB Kyren Williams TE Jake Ferguson WR Malik Nabers WR Calvin Ridley WR Rome Odunze,125.75
29,4852604237,GKush,0,185.36,DST Saints  FLEX Hollywood Brown QB Mac Jones RB Christian McCaffrey RB Alvin Kamara TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Tyreek Hill,129.75
30,4848780223,providenceroad12,0,185.20001,DST Rams  FLEX Elic Ayomanor QB Lamar Jackson RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Malik Nabers WR Tee Higgins WR Jaxon Smith-Njigba,136.75
31,4854442717,drumsofwar,0,184.7,DST Lions  FLEX Kenneth Walker III QB Russell Wilson RB Christian McCaffrey RB Jonathan Taylor TE Tyler Warren WR Tyreek Hill WR Davante Adams WR Michael Pittman Jr.,97.85
32,4854128408,tzboomer,0,184.38,DST Ravens  FLEX James Cook QB Justin Fields RB Christian McCaffrey RB James Conner TE Juwan Johnson WR Malik Nabers WR Rome Odunze WR Kayshon Boutte,116.25
33,4854200516,klarson523,0,184.28,DST Seahawks  FLEX Christian McCaffrey QB Caleb Williams RB De'Von Achane RB James Conner TE Dalton Kincaid WR Malik Nabers WR Hollywood Brown WR Rome Odunze,119.24999999999999
34,4853883574,nuketech,0,184.16,DST Rams  FLEX Stefon Diggs QB Jared Goff RB Christian McCaffrey RB Trey Benson TE Harold Fannin Jr. WR Puka Nacua WR Amon-Ra St. Brown WR Jaxon Smith-Njigba,118.20000000000002
35,4853567533,pfaeh,0,183.86002,DST Seahawks  FLEX Jarquez Hunter QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Ja'Marr Chase WR Puka Nacua WR Jaxon Smith-Njigba,127.35
36,4853037654,ualong,0,183.76001,DST Saints  FLEX Amon-Ra St. Brown QB Mac Jones RB Christian McCaffrey RB Jahmyr Gibbs TE Harold Fannin Jr. WR Puka Nacua WR Davante Adams WR Calvin Ridley,125.75
37,4851606834,RedViper,0,183.06,DST Titans  FLEX Rome Odunze QB Mac Jones RB Christian McCaffrey RB James Conner TE Juwan Johnson WR Ja'Marr Chase WR CeeDee Lamb WR Hollywood Brown,129.95000000000002
38,4854023192,ljuke,0,182.96,DST Patriots  FLEX Cedric Tillman QB Mac Jones RB De'Von Achane RB Kyren Williams TE Jake Ferguson WR Ja'Marr Chase WR CeeDee Lamb WR Jaxon Smith-Njigba,118.25
39,4847784780,nbicks,0,182.90001,DST Rams  FLEX Harold Fannin Jr. QB Lamar Jackson RB Christian McCaffrey RB James Conner TE Sam LaPorta WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR Rome Odunze,132.1
40,4853402141,bheck77,0,182.80002,DST Patriots  FLEX Travis Etienne Jr. QB Lamar Jackson RB Christian McCaffrey RB Javonte Williams TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR Keon Coleman,124.00000000000001
40,4850466101,ManilaThrilla,0,182.8,DST Seahawks  FLEX Rome Odunze QB Drake Maye RB Christian McCaffrey RB Dylan Sampson TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Chris Olave,120.70000000000002
